SNo,States,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Composite
1,Kerala,64,74,82,74,51,77,70,61,88,75,51,57,56,28,98,77,70
2,Himachal Pradesh,60,44,67,81,52,82,64,76,70,78,79,52,61,,92,84,69
3,Andhra Pradesh,69,35,76,52,37,96,86,78,66,68,36,57,70,61,86,86,67
4,Tamil Nadu,72,48,76,70,40,90,90,74,53,65,51,63,45,50,91,78,67
5,Telangana,52,36,66,64,26,84,93,82,61,94,62,58,66,,88,77,67
6,Karnataka,49,37,72,67,42,88,86,78,40,70,48,72,71,65,89,75,66
7,Goa,53,76,60,71,46,77,95,71,45,19,79,63,41,47,99,79,65
8,Sikkim,65,66,59,58,49,79,97,68,27,64,74,60,38,,100,69,65
9,Gujarat,47,39,67,47,36,92,75,75,88,59,77,33,63,23,77,86,64
10,Maharashtra,47,34,76,65,41,93,82,70,59,70,45,71,50,42,85,72,64
11,Uttarakhand,64,45,58,66,38,90,78,73,55,59,51,50,59,,95,85,64
12,Punjab,48,61,71,67,46,74,89,65,69,50,61,35,57,,59,83,62
13,Manipur,42,69,62,70,34,87,72,27,43,81,28,85,37,,100,70,60
14,West Bengal,52,40,70,50,38,83,58,72,68,73,34,57,37,43,88,73,60
15,Jammu and Kashmir and Ladakh,58,55,62,54,53,85,76,46,49,47,33,61,59,,74,69,59
16,Madhya Pradesh,40,24,50,54,45,92,62,67,44,68,55,58,47,,94,63,58
17,Odisha,47,34,61,40,35,85,50,59,72,69,51,44,69,57,99,61,58
18,Tripura,70,49,61,55,32,69,56,63,48,45,31,92,37,,88,73,58
19,Haryana,47,43,65,68,36,81,77,71,73,54,49,39,34,,40,76,57
20,Nagaland,56,70,29,47,42,75,70,28,23,61,23,100,51,,94,84,57
21,Rajasthan,56,35,58,51,39,76,61,65,38,70,61,30,60,,75,76,57
22,Chhattisgarh,49,27,52,52,43,92,56,67,38,60,49,58,29,,97,71,56
23,Mizoram,67,75,52,61,37,81,81,42,8,66,33,50,45,,75,63,56
24,Assam,48,39,44,44,33,78,70,62,46,67,40,68,47,,90,52,55
25,Uttar Pradesh,40,31,34,48,41,94,63,64,63,46,56,62,48,,62,69,55
26,Meghalaya,68,35,53,55,34,70,52,65,22,76,22,60,36,,99,59,54
27,Arunachal Pradesh,34,66,50,58,33,88,74,52,31,38,43,67,31,,71,62,53
28,Jharkhand,28,22,55,42,34,78,50,70,70,64,57,36,27,,99,67,53
29,Bihar,33,26,44,19,40,81,62,64,47,74,50,47,43,,54,64,50
